Country Name,Country Code,Series Name,Employment in agriculture (% of total employment) ,"Agriculture, forestry, and fishing, value added (% of GDP)",Agricultural land (sq. km)
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),46.58782301,33.59761887,383130
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),35.640848,18.35812525,11363.3
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),10.03309842,11.23340263,413160.71
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,29
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.53361793,187.562
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),56.70750627,11.48634538,458970
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment) (modeled ILO estimate),..,2.082017906,90
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),7.333607565,7.306308855,1179577.597
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),53.10091772,11.34354842,16748.2
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,20
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),2.494832643,2.300252621,3635190
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),3.734824358,1.218629132,25974.594
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),36.28280975,5.725983657,47806
"Bahamas, The",BHS,Employment in agriculture (% of total employment) (modeled ILO estimate),3.121505777,0.481137137,130
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),0.925946232,0.279204524,81
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),37.54564038,11.63285843,100680
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),2.800762365,1.908407134,100
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),10.90720643,6.706844792,81740
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),0.935983611,0.641438472,13656.7
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),17.22256369,7.903317617,1820
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),29.05929399,28.52895061,39500
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.291123152,3
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),49.85903291,15.79477904,5130
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),27.64740962,12.92292331,381193.672
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),13.82545369,5.019317881,22630
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),17.59345271,1.788520019,258620
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),9.495608491,6.558762612,2393695.61
British Virgin Islands,VGB,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,70
Brunei Darussalam,BRN,Employment in agriculture (% of total employment) (modeled ILO estimate),1.406603261,1.256290223,134
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),6.291864964,4.368048975,50465.972
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),74.58013935,17.29001582,127400
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),85.31313419,28.66022,21030
Cabo Verde,CPV,Employment in agriculture (% of total employment) (modeled ILO estimate),10.53783142,5.971474059,790
Cambodia,KHM,Employment in agriculture (% of total employment) (modeled ILO estimate),37.13157806,22.84750006,60991.397
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),42.82221247,16.96610476,97500
Canada,CAN,Employment in agriculture (% of total employment) (modeled ILO estimate),1.337709799,..,569910
Cayman Islands,CYM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.450199847,27
Central African Republic,CAF,Employment in agriculture (% of total employment) (modeled ILO estimate),71.20712851,35.75533,49100
Chad,TCD,Employment in agriculture (% of total employment) (modeled ILO estimate),69.54943868,25.30360768,503380
Channel Islands,CHI,Employment in agriculture (% of total employment) (modeled ILO estimate),2.372011749,0.882717225,85.7
Chile,CHL,Employment in agriculture (% of total employment) (modeled ILO estimate),6.548048682,3.503759086,105955.37
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),23.16450492,7.241017469,5206950
Colombia,COL,Employment in agriculture (% of total employment) (modeled ILO estimate),15.92783128,7.770950686,427180
Comoros,COM,Employment in agriculture (% of total employment) (modeled ILO estimate),35.21270556,35.51165241,1330
"Congo, Dem. Rep.",COD,Employment in agriculture (% of total employment) (modeled ILO estimate),56.63543469,19.04363013,338980
"Congo, Rep.",COG,Employment in agriculture (% of total employment) (modeled ILO estimate),32.80343314,9.096748689,106780
Costa Rica,CRI,Employment in agriculture (% of total employment) (modeled ILO estimate),15.20456937,4.366713259,18110
Cote d'Ivoire,CIV,Employment in agriculture (% of total employment) (modeled ILO estimate),46.01820616,16.18055296,235000
Croatia,HRV,Employment in agriculture (% of total employment) (modeled ILO estimate),6.803417778,3.276747632,14760
Cuba,CUB,Employment in agriculture (% of total employment) (modeled ILO estimate),17.61235322,0.881940963,64010
Curacao,CUW,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.259155034,..
Cyprus,CYP,Employment in agriculture (% of total employment) (modeled ILO estimate),2.853184473,1.625008073,1231.349
Czechia,CZE,Employment in agriculture (% of total employment) (modeled ILO estimate),2.547561294,1.845362946,35297.97
Denmark,DNK,Employment in agriculture (% of total employment) (modeled ILO estimate),2.039455175,1.088994751,26180
Djibouti,DJI,Employment in agriculture (% of total employment) (modeled ILO estimate),1.209346895,1.839328951,17039
Dominica,DMA,Employment in agriculture (% of total employment) (modeled ILO estimate),..,16.95815157,250
Dominican Republic,DOM,Employment in agriculture (% of total employment) (modeled ILO estimate),8.008813239,5.665782146,24290
Ecuador,ECU,Employment in agriculture (% of total employment) (modeled ILO estimate),32.17830744,7.99784979,54700
"Egypt, Arab Rep.",EGY,Employment in agriculture (% of total employment) (modeled ILO estimate),19.28917091,11.43693261,40310
El Salvador,SLV,Employment in agriculture (% of total employment) (modeled ILO estimate),14.87230748,4.812255149,11957
Equatorial Guinea,GNQ,Employment in agriculture (% of total employment) (modeled ILO estimate),55.98621949,2.876612413,1049.2
Eritrea,ERI,Employment in agriculture (% of total employment) (modeled ILO estimate),64.44839064,..,75920
Estonia,EST,Employment in agriculture (% of total employment) (modeled ILO estimate),2.684239622,1.969940228,9870
Eswatini,SWZ,Employment in agriculture (% of total employment) (modeled ILO estimate),13.64908533,8.100368351,11950
Ethiopia,ETH,Employment in agriculture (% of total employment) (modeled ILO estimate),63.46600856,37.57911569,385950
Faroe Islands,FRO,Employment in agriculture (% of total employment) (modeled ILO estimate),..,14.23424051,960.7
Fiji,FJI,Employment in agriculture (% of total employment) (modeled ILO estimate),29.40281662,15.27648106,3116
Finland,FIN,Employment in agriculture (% of total employment) (modeled ILO estimate),4.10821147,2.43672805,22680
France,FRA,Employment in agriculture (% of total employment) (modeled ILO estimate),2.49128585,1.617229883,285537.54
French Polynesia,PYF,Employment in agriculture (% of total employment) (modeled ILO estimate),2.158853184,..,485
Gabon,GAB,Employment in agriculture (% of total employment) (modeled ILO estimate),29.92092971,6.016489337,21532.36
"Gambia, The",GMB,Employment in agriculture (% of total employment) (modeled ILO estimate),48.18306736,23.57926772,6340
Georgia,GEO,Employment in agriculture (% of total employment) (modeled ILO estimate),40.72773503,7.22731737,23799
Germany,DEU,Employment in agriculture (% of total employment) (modeled ILO estimate),1.250585991,0.711937967,165910
Ghana,GHA,Employment in agriculture (% of total employment) (modeled ILO estimate),40.34350664,19.65747352,126037.4
Gibraltar,GIB,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,..
Greece,GRC,Employment in agriculture (% of total employment) (modeled ILO estimate),11.3577248,3.67679024,58671.88
Greenland,GRL,Employment in agriculture (% of total employment) (modeled ILO estimate),..,17.48632268,2431.1
Grenada,GRD,Employment in agriculture (% of total employment) (modeled ILO estimate),..,5.337845862,80
Guam,GUM,Employment in agriculture (% of total employment) (modeled ILO estimate),0.243509788,..,160
Guatemala,GTM,Employment in agriculture (% of total employment) (modeled ILO estimate),29.17459743,9.298996817,46120
Guinea,GIN,Employment in agriculture (% of total employment) (modeled ILO estimate),60.87983121,27.31991763,146380
Guinea-Bissau,GNB,Employment in agriculture (% of total employment) (modeled ILO estimate),50.91199596,33.03259686,8151.1
Guyana,GUY,Employment in agriculture (% of total employment) (modeled ILO estimate),12.50493031,13.45519329,10430
Haiti,HTI,Employment in agriculture (% of total employment) (modeled ILO estimate),46.02131237,20.68142887,17950
Honduras,HND,Employment in agriculture (% of total employment) (modeled ILO estimate),24.83380615,10.89305193,35760
"Hong Kong SAR, China",HKG,Employment in agriculture (% of total employment) (modeled ILO estimate),0.219185592,0.075593459,40
Hungary,HUN,Employment in agriculture (% of total employment) (modeled ILO estimate),4.392735908,3.456474586,50436.886
Iceland,ISL,Employment in agriculture (% of total employment) (modeled ILO estimate),4.013843162,4.350329816,18720
India,IND,Employment in agriculture (% of total employment) (modeled ILO estimate),44.07919148,17.37256153,1785279.48
Indonesia,IDN,Employment in agriculture (% of total employment) (modeled ILO estimate),28.98720374,13.28016914,646000
"Iran, Islamic Rep.",IRN,Employment in agriculture (% of total employment) (modeled ILO estimate),15.51905643,12.393096,470670
Iraq,IRQ,Employment in agriculture (% of total employment) (modeled ILO estimate),8.619053712,3.27919753,94240
Ireland,IRL,Employment in agriculture (% of total employment) (modeled ILO estimate),4.485038626,0.991635584,43370
Isle of Man,IMN,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.337744275,392
Israel,ISR,Employment in agriculture (% of total employment) (modeled ILO estimate),0.795734766,1.26100865,6435
Italy,ITA,Employment in agriculture (% of total employment) (modeled ILO estimate),4.05017291,1.900611581,124030.309
Jamaica,JAM,Employment in agriculture (% of total employment) (modeled ILO estimate),15.73789042,8.340802427,4170
Japan,JPN,Employment in agriculture (% of total employment) (modeled ILO estimate),3.16976617,1.013280818,46590
Jordan,JOR,Employment in agriculture (% of total employment) (modeled ILO estimate),3.279819035,4.786752777,10230
Kazakhstan,KAZ,Employment in agriculture (% of total employment) (modeled ILO estimate),13.23835743,5.03000194,2137959
Kenya,KEN,Employment in agriculture (% of total employment) (modeled ILO estimate),33.26238327,21.4770751,277100
Kiribati,KIR,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,340
"Korea, Dem. People's Rep.",PRK,Employment in agriculture (% of total employment) (modeled ILO estimate),45.22227536,..,25950
"Korea, Rep.",KOR,Employment in agriculture (% of total employment) (modeled ILO estimate),5.346998268,1.855664255,16030
Kosovo,XKX,Employment in agriculture (% of total employment) (modeled ILO estimate),..,6.923305531,..
Kuwait,KWT,Employment in agriculture (% of total employment) (modeled ILO estimate),1.995843118,0.494956234,1500
Kyrgyz Republic,KGZ,Employment in agriculture (% of total employment) (modeled ILO estimate),25.1675397,12.41223303,103661
Lao PDR,LAO,Employment in agriculture (% of total employment) (modeled ILO estimate),67.75261901,16.06769702,20310
Latvia,LVA,Employment in agriculture (% of total employment) (modeled ILO estimate),6.788516496,4.136372343,19700
Lebanon,LBN,Employment in agriculture (% of total employment) (modeled ILO estimate),3.628515399,1.400165615,6793
Lesotho,LSO,Employment in agriculture (% of total employment) (modeled ILO estimate),29.95818958,5.969617792,24330
Liberia,LBR,Employment in agriculture (% of total employment) (modeled ILO estimate),39.93146823,36.91949096,19230.4
Libya,LBY,Employment in agriculture (% of total employment) (modeled ILO estimate),9.5007742,1.421810537,153500
Liechtenstein,LIE,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.166049304,51.7
Lithuania,LTU,Employment in agriculture (% of total employment) (modeled ILO estimate),5.312985989,3.396305404,29378
Luxembourg,LUX,Employment in agriculture (% of total employment) (modeled ILO estimate),1.144596458,0.190650028,1328.11
"Macao SAR, China",MAC,Employment in agriculture (% of total employment) (modeled ILO estimate),0.518100248,..,..
Madagascar,MDG,Employment in agriculture (% of total employment) (modeled ILO estimate),71.18958531,23.18822377,408950
Malawi,MWI,Employment in agriculture (% of total employment) (modeled ILO estimate),62.62804833,22.81289033,60500
Malaysia,MYS,Employment in agriculture (% of total employment) (modeled ILO estimate),10.30565825,9.574613508,85710
Maldives,MDV,Employment in agriculture (% of total employment) (modeled ILO estimate),7.769191828,5.30778918,59
Mali,MLI,Employment in agriculture (% of total employment) (modeled ILO estimate),68.2466584,35.68182612,431310
Malta,MLT,Employment in agriculture (% of total employment) (modeled ILO estimate),0.797648883,0.903484627,87.5
Marshall Islands,MHL,Employment in agriculture (% of total employment) (modeled ILO estimate),..,25.07638351,70
Mauritania,MRT,Employment in agriculture (% of total employment) (modeled ILO estimate),33.69929039,19.14858113,397100
Mauritius,MUS,Employment in agriculture (% of total employment) (modeled ILO estimate),5.345391115,3.280236087,860
Mexico,MEX,Employment in agriculture (% of total employment) (modeled ILO estimate),13.06523428,3.791926276,971260
"Micronesia, Fed. Sts.",FSM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,22.27564103,50
Moldova,MDA,Employment in agriculture (% of total employment) (modeled ILO estimate),56.97886151,10.58658701,22750
Monaco,MCO,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,..
Mongolia,MNG,Employment in agriculture (% of total employment) (modeled ILO estimate),26.90732217,13.16317419,1126312
Montenegro,MNE,Employment in agriculture (% of total employment) (modeled ILO estimate),7.409577995,6.461483445,2555.6
Morocco,MAR,Employment in agriculture (% of total employment) (modeled ILO estimate),31.2337781,11.99558807,302910
Mozambique,MOZ,Employment in agriculture (% of total employment) (modeled ILO estimate),70.53006196,26.89459135,414138.32
Myanmar,MMR,Employment in agriculture (% of total employment) (modeled ILO estimate),46.14346619,22.78529016,129800
Namibia,NAM,Employment in agriculture (% of total employment) (modeled ILO estimate),22.02694525,9.563003791,388120
Nauru,NRU,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,4
Nepal,NPL,Employment in agriculture (% of total employment) (modeled ILO estimate),61.91254435,22.02145228,41210
Netherlands,NLD,Employment in agriculture (% of total employment) (modeled ILO estimate),2.256174892,1.516907558,18120
New Caledonia,NCL,Employment in agriculture (% of total employment) (modeled ILO estimate),1.862530117,..,1840.3
New Zealand,NZL,Employment in agriculture (% of total employment) (modeled ILO estimate),6.071097643,5.780224316,101750
Nicaragua,NIC,Employment in agriculture (% of total employment) (modeled ILO estimate),28.2941802,15.4434217,50910
Niger,NER,Employment in agriculture (% of total employment) (modeled ILO estimate),71.28328938,36.4810258,465950
Nigeria,NGA,Employment in agriculture (% of total employment) (modeled ILO estimate),38.5536135,23.35705876,686440
North Macedonia,MKD,Employment in agriculture (% of total employment) (modeled ILO estimate),11.13073261,7.147488844,12600
Northern Mariana Islands,MNP,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,5.4
Norway,NOR,Employment in agriculture (% of total employment) (modeled ILO estimate),2.347636377,1.598869177,9850
Oman,OMN,Employment in agriculture (% of total employment) (modeled ILO estimate),6.171544819,2.120779761,14662.2
Pakistan,PAK,Employment in agriculture (% of total employment) (modeled ILO estimate),37.09803864,22.66250808,363030
Palau,PLW,Employment in agriculture (% of total employment) (modeled ILO estimate),..,3.503394546,43
Panama,PAN,Employment in agriculture (% of total employment) (modeled ILO estimate),15.66501163,2.65507344,21813.16
Papua New Guinea,PNG,Employment in agriculture (% of total employment) (modeled ILO estimate),18.96698243,18.98993702,14410
Paraguay,PRY,Employment in agriculture (% of total employment) (modeled ILO estimate),19.71426923,11.27890078,168091.4
Peru,PER,Employment in agriculture (% of total employment) (modeled ILO estimate),27.85822476,7.12151916,255156.89
Philippines,PHL,Employment in agriculture (% of total employment) (modeled ILO estimate),24.32550897,10.06916402,126830
Poland,POL,Employment in agriculture (% of total employment) (modeled ILO estimate),8.398853715,2.241855933,144994.6
Portugal,PRT,Employment in agriculture (% of total employment) (modeled ILO estimate),5.187633935,2.150372134,39622.955
Puerto Rico,PRI,Employment in agriculture (% of total employment) (modeled ILO estimate),1.286093136,0.673046024,1689
Qatar,QAT,Employment in agriculture (% of total employment) (modeled ILO estimate),1.307922065,0.29823968,740
Romania,ROU,Employment in agriculture (% of total employment) (modeled ILO estimate),18.4678901,4.762592363,130790
Russian Federation,RUS,Employment in agriculture (% of total employment) (modeled ILO estimate),5.852995598,3.937600101,2154940
Rwanda,RWA,Employment in agriculture (% of total employment) (modeled ILO estimate),56.24655301,24.0703111,20044.6
Samoa,WSM,Employment in agriculture (% of total employment) (modeled ILO estimate),20.63238925,9.852790569,494.1
San Marino,SMR,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.016625393,23
Sao Tome and Principe,STP,Employment in agriculture (% of total employment) (modeled ILO estimate),17.55514252,15.26617676,420
Saudi Arabia,SAU,Employment in agriculture (% of total employment) (modeled ILO estimate),2.665520488,2.67515943,1736370
Senegal,SEN,Employment in agriculture (% of total employment) (modeled ILO estimate),22.23519292,15.55126462,95110
Serbia,SRB,Employment in agriculture (% of total employment) (modeled ILO estimate),14.06519762,6.293190057,34850
Seychelles,SYC,Employment in agriculture (% of total employment) (modeled ILO estimate),..,2.444662638,15.5
Sierra Leone,SLE,Employment in agriculture (% of total employment) (modeled ILO estimate),44.07801662,57.44878664,39490
Singapore,SGP,Employment in agriculture (% of total employment) (modeled ILO estimate),0.107774097,0.030725891,6.6
Sint Maarten (Dutch part),SXM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,..
Slovak Republic,SVK,Employment in agriculture (% of total employment) (modeled ILO estimate),3.214578373,1.78909981,18560
Slovenia,SVN,Employment in agriculture (% of total employment) (modeled ILO estimate),4.050311827,1.683995436,6109.6
Solomon Islands,SLB,Employment in agriculture (% of total employment) (modeled ILO estimate),37.88184324,35.04358777,1200
Somalia,SOM,Employment in agriculture (% of total employment) (modeled ILO estimate),26.49793862,..,441290
South Africa,ZAF,Employment in agriculture (% of total employment) (modeled ILO estimate),21.27769476,2.557298933,963410
South Sudan,SSD,Employment in agriculture (% of total employment) (modeled ILO estimate),60.78329617,..,282527
Spain,ESP,Employment in agriculture (% of total employment) (modeled ILO estimate),4.059541275,2.730775839,262284.464
Sri Lanka,LKA,Employment in agriculture (% of total employment) (modeled ILO estimate),26.91209314,8.789951745,28120
St. Kitts and Nevis,KNA,Employment in agriculture (% of total employment) (modeled ILO estimate),..,1.239280846,60
St. Lucia,LCA,Employment in agriculture (% of total employment) (modeled ILO estimate),10.55138961,1.742447846,99.4
St. Martin (French part),MAF,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,..
St. Vincent and the Grenadines,VCT,Employment in agriculture (% of total employment) (modeled ILO estimate),10.03451796,5.356665152,70
Sudan,SDN,Employment in agriculture (% of total employment) (modeled ILO estimate),40.93680704,6.357092128,1126648.4
Suriname,SUR,Employment in agriculture (% of total employment) (modeled ILO estimate),7.755364498,8.900155434,780
Sweden,SWE,Employment in agriculture (% of total employment) (modeled ILO estimate),1.972649098,1.288093555,30029.1
Switzerland,CHE,Employment in agriculture (% of total employment) (modeled ILO estimate),2.373319204,0.625932433,14993.783
Syrian Arab Republic,SYR,Employment in agriculture (% of total employment) (modeled ILO estimate),15.88718197,27.82214695,139133.76
Tajikistan,TJK,Employment in agriculture (% of total employment) (modeled ILO estimate),44.33897356,22.44908055,49170
Tanzania,TZA,Employment in agriculture (% of total employment) (modeled ILO estimate),65.97281946,24.78845062,395212
Thailand,THA,Employment in agriculture (% of total employment) (modeled ILO estimate),31.89732223,8.691894567,235000
Timor-Leste,TLS,Employment in agriculture (% of total employment) (modeled ILO estimate),37.84328968,8.620599687,3414
Togo,TGO,Employment in agriculture (% of total employment) (modeled ILO estimate),31.42883563,18.36499115,38200
Tonga,TON,Employment in agriculture (% of total employment) (modeled ILO estimate),26.72116561,16.32324846,350
Trinidad and Tobago,TTO,Employment in agriculture (% of total employment) (modeled ILO estimate),3.061699086,1.470946825,540
Tunisia,TUN,Employment in agriculture (% of total employment) (modeled ILO estimate),14.38850586,10.14635891,97005
Turkiye,TUR,Employment in agriculture (% of total employment) (modeled ILO estimate),17.18384344,5.533753092,380890
Turkmenistan,TKM,Employment in agriculture (% of total employment) (modeled ILO estimate),23.1893415,11.80795996,338380
Turks and Caicos Islands,TCA,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,10
Tuvalu,TUV,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,18
Uganda,UGA,Employment in agriculture (% of total employment) (modeled ILO estimate),66.6660646,23.84180383,144150
Ukraine,UKR,Employment in agriculture (% of total employment) (modeled ILO estimate),15.09665847,10.88577211,413110
United Arab Emirates,ARE,Employment in agriculture (% of total employment) (modeled ILO estimate),1.428170544,0.943418358,3915.615
United Kingdom,GBR,Employment in agriculture (% of total employment) (modeled ILO estimate),1.032580668,0.709563899,172151.41
United States,USA,Employment in agriculture (% of total employment) (modeled ILO estimate),1.662402526,0.948221773,4058103.538
Uruguay,URY,Employment in agriculture (% of total employment) (modeled ILO estimate),8.11545898,7.938814678,140696.05
Uzbekistan,UZB,Employment in agriculture (% of total employment) (modeled ILO estimate),26.5443147,24.61828846,256906
Vanuatu,VUT,Employment in agriculture (% of total employment) (modeled ILO estimate),43.46985967,..,1870
"Venezuela, RB",VEN,Employment in agriculture (% of total employment) (modeled ILO estimate),11.77676669,..,215000
Viet Nam,VNM,Employment in agriculture (% of total employment) (modeled ILO estimate),29.04434487,12.60309956,123600
Virgin Islands (U.S.),VIR,Employment in agriculture (% of total employment) (modeled ILO estimate),1.344809037,..,33
West Bank and Gaza,PSE,Employment in agriculture (% of total employment) (modeled ILO estimate),6.661145789,6.316748578,3912
"Yemen, Rep.",YEM,Employment in agriculture (% of total employment) (modeled ILO estimate),29.82938482,..,234520
Zambia,ZMB,Employment in agriculture (% of total employment) (modeled ILO estimate),57.78850845,3.000880539,238390
Zimbabwe,ZWE,Employment in agriculture (% of total employment) (modeled ILO estimate),53.62253356,8.849899248,162000
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 09/19/2024,,,,,